Year,HadSST4 (degC),HadSST4 uncertainty
1850,-0.59,0.218
1851,-0.47,0.221
1852,-0.46,0.210
1853,-0.49,0.185
1854,-0.55,0.171
1855,-0.52,0.170
1856,-0.58,0.163
1857,-0.71,0.168
1858,-0.68,0.175
1859,-0.56,0.171
1860,-0.52,0.180
1861,-0.65,0.209
1862,-0.68,0.212
1863,-0.61,0.212
1864,-0.65,0.196
1865,-0.49,0.208
1866,-0.49,0.204
1867,-0.49,0.203
1868,-0.50,0.219
1869,-0.57,0.190
1870,-0.51,0.164
1871,-0.51,0.175
1872,-0.53,0.167
1873,-0.58,0.162
1874,-0.67,0.163
1875,-0.52,0.162
1876,-0.63,0.167
1877,-0.31,0.168
1878,-0.29,0.165
1879,-0.48,0.155
1880,-0.49,0.149
1881,-0.43,0.153
1882,-0.50,0.145
1883,-0.53,0.136
1884,-0.64,0.130
1885,-0.62,0.131
1886,-0.64,0.126
1887,-0.71,0.129
1888,-0.54,0.128
1889,-0.45,0.134
1890,-0.72,0.146
1891,-0.56,0.151
1892,-0.70,0.153
1893,-0.70,0.155
1894,-0.72,0.152
1895,-0.63,0.150
1896,-0.44,0.142
1897,-0.48,0.146
1898,-0.72,0.148
1899,-0.59,0.150
1900,-0.52,0.154
1901,-0.64,0.151
1902,-0.73,0.149
1903,-0.85,0.147
1904,-0.88,0.151
1905,-0.71,0.145
1906,-0.66,0.146
1907,-0.75,0.137
1908,-0.86,0.135
1909,-0.88,0.126
1910,-0.88,0.128
1911,-0.88,0.124
1912,-0.74,0.121
1913,-0.78,0.107
1914,-0.63,0.120
1915,-0.52,0.135
1916,-0.71,0.136
1917,-0.75,0.150
1918,-0.71,0.160
1919,-0.66,0.154
1920,-0.58,0.144
1921,-0.56,0.138
1922,-0.64,0.132
1923,-0.61,0.124
1924,-0.61,0.125
1925,-0.56,0.125
1926,-0.44,0.125
1927,-0.51,0.120
1928,-0.54,0.125
1929,-0.61,0.124
1930,-0.46,0.125
1931,-0.41,0.125
1932,-0.49,0.124
1933,-0.47,0.125
1934,-0.41,0.121
1935,-0.42,0.116
1936,-0.39,0.110
1937,-0.24,0.112
1938,-0.33,0.114
1939,-0.28,0.129
1940,-0.15,0.134
1941,-0.28,0.198
1942,-0.31,0.227
1943,-0.32,0.233
1944,-0.18,0.229
1945,-0.18,0.236
1946,-0.40,0.196
1947,-0.46,0.190
1948,-0.45,0.193
1949,-0.44,0.151
1950,-0.46,0.141
1951,-0.35,0.134
1952,-0.26,0.133
1953,-0.24,0.133
1954,-0.43,0.131
1955,-0.51,0.128
1956,-0.52,0.124
1957,-0.32,0.115
1958,-0.30,0.110
1959,-0.35,0.103
1960,-0.39,0.099
1961,-0.34,0.089
1962,-0.39,0.086
1963,-0.34,0.089
1964,-0.54,0.086
1965,-0.50,0.087
1966,-0.39,0.084
1967,-0.45,0.077
1968,-0.45,0.073
1969,-0.28,0.070
1970,-0.40,0.062
1971,-0.55,0.060
1972,-0.31,0.059
1973,-0.28,0.059
1974,-0.43,0.063
1975,-0.44,0.063
1976,-0.42,0.065
1977,-0.21,0.062
1978,-0.26,0.061
1979,-0.15,0.050
1980,-0.15,0.057
1981,-0.18,0.059
1982,-0.19,0.069
1983,-0.10,0.067
1984,-0.23,0.067
1985,-0.24,0.065
1986,-0.22,0.064
1987,-0.06,0.064
1988,-0.08,0.065
1989,-0.12,0.066
1990,0.00,0.068
1991,-0.02,0.069
1992,-0.11,0.069
1993,-0.08,0.071
1994,-0.04,0.070
1995,0.01,0.068
1996,-0.05,0.065
1997,0.13,0.068
1998,0.22,0.072
1999,-0.01,0.070
2000,-0.01,0.070
2001,0.10,0.069
2002,0.14,0.067
2003,0.17,0.066
2004,0.15,0.063
2005,0.16,0.061
2006,0.14,0.057
2007,0.07,0.056
2008,0.05,0.055
2009,0.20,0.056
2010,0.20,0.055
2011,0.09,0.056
2012,0.16,0.062
2013,0.19,0.066
2014,0.29,0.064
2015,0.42,0.057
2016,0.44,0.055
2017,0.36,0.055
2018,0.32,0.055
2019,0.41,0.058
2020,0.41,0.060
2021,0.33,0.063
2022,0.39,0.064
2023,0.63,0.067
2024,0.66,0.063
2025,0.55,0.059
2026,,
