Year,Month,EN4 SpNA-OHC (10ZJ),EN4 SpNA-OHC uncertainty
1950,1,-0.06,
1950,2,-0.04,
1950,3,0.11,
1950,4,-0.13,
1950,5,0.10,
1950,6,-0.51,
1950,7,-0.17,
1950,8,-0.17,
1950,9,-0.10,
1950,10,-0.33,
1950,11,0.07,
1950,12,-0.08,
1951,1,-0.13,
1951,2,-0.42,
1951,3,-0.58,
1951,4,-0.46,
1951,5,-0.45,
1951,6,-0.22,
1951,7,0.14,
1951,8,0.02,
1951,9,0.01,
1951,10,-0.00,
1951,11,-0.02,
1951,12,-0.06,
1952,1,-0.43,
1952,2,-0.54,
1952,3,-0.47,
1952,4,-0.56,
1952,5,-0.98,
1952,6,-0.93,
1952,7,-0.68,
1952,8,-0.54,
1952,9,-0.60,
1952,10,-0.70,
1952,11,-0.52,
1952,12,-0.48,
1953,1,-0.45,
1953,2,-0.62,
1953,3,-0.36,
1953,4,-0.44,
1953,5,-0.51,
1953,6,-0.45,
1953,7,-0.12,
1953,8,-0.22,
1953,9,-0.07,
1953,10,-0.12,
1953,11,-0.07,
1953,12,-0.21,
1954,1,-0.45,
1954,2,-0.21,
1954,3,-0.13,
1954,4,0.13,
1954,5,0.20,
1954,6,-0.28,
1954,7,-0.53,
1954,8,-0.35,
1954,9,-0.18,
1954,10,-0.21,
1954,11,-0.25,
1954,12,-0.50,
1955,1,-0.62,
1955,2,-0.60,
1955,3,-0.37,
1955,4,-0.20,
1955,5,-0.23,
1955,6,-0.37,
1955,7,-0.68,
1955,8,0.15,
1955,9,0.14,
1955,10,0.17,
1955,11,0.16,
1955,12,0.03,
1956,1,-0.14,
1956,2,-0.22,
1956,3,-0.20,
1956,4,-0.55,
1956,5,-0.79,
1956,6,-0.25,
1956,7,-0.23,
1956,8,0.13,
1956,9,0.11,
1956,10,-0.06,
1956,11,-0.31,
1956,12,-0.43,
1957,1,-0.25,
1957,2,-0.22,
1957,3,-0.10,
1957,4,0.51,
1957,5,0.07,
1957,6,0.08,
1957,7,0.23,
1957,8,-0.26,
1957,9,-0.16,
1957,10,-0.11,
1957,11,-0.04,
1957,12,-0.08,
1958,1,-0.08,
1958,2,-0.25,
1958,3,0.08,
1958,4,0.10,
1958,5,0.42,
1958,6,-0.09,
1958,7,-0.03,
1958,8,0.46,
1958,9,0.56,
1958,10,0.09,
1958,11,0.34,
1958,12,-0.38,
1959,1,-0.53,
1959,2,-0.46,
1959,3,-0.60,
1959,4,-0.39,
1959,5,-0.10,
1959,6,-0.03,
1959,7,0.04,
1959,8,0.07,
1959,9,0.06,
1959,10,-0.92,
1959,11,-0.58,
1959,12,-0.77,
1960,1,-0.77,
1960,2,-0.14,
1960,3,-0.30,
1960,4,-0.23,
1960,5,-0.03,
1960,6,-0.22,
1960,7,-0.13,
1960,8,-0.38,
1960,9,-0.51,
1960,10,-0.69,
1960,11,-0.43,
1960,12,-0.68,
1961,1,-0.79,
1961,2,-0.83,
1961,3,-1.03,
1961,4,-0.83,
1961,5,-0.09,
1961,6,-0.14,
1961,7,0.13,
1961,8,-0.16,
1961,9,-0.23,
1961,10,-0.63,
1961,11,-0.59,
1961,12,-0.84,
1962,1,-0.78,
1962,2,-0.38,
1962,3,-1.00,
1962,4,-0.49,
1962,5,-0.46,
1962,6,-0.59,
1962,7,-0.62,
1962,8,-0.40,
1962,9,-0.52,
1962,10,-0.32,
1962,11,-0.62,
1962,12,-1.14,
1963,1,-1.20,
1963,2,-1.20,
1963,3,-1.10,
1963,4,-0.74,
1963,5,-0.53,
1963,6,-0.69,
1963,7,-0.26,
1963,8,-0.35,
1963,9,-0.43,
1963,10,-0.46,
1963,11,-0.40,
1963,12,-0.35,
1964,1,-0.77,
1964,2,-0.13,
1964,3,0.23,
1964,4,-0.15,
1964,5,-0.06,
1964,6,-0.04,
1964,7,0.04,
1964,8,0.06,
1964,9,-0.18,
1964,10,-0.11,
1964,11,-0.01,
1964,12,-0.12,
1965,1,-0.56,
1965,2,-0.17,
1965,3,-0.01,
1965,4,0.16,
1965,5,0.41,
1965,6,0.19,
1965,7,0.64,
1965,8,0.41,
1965,9,0.60,
1965,10,0.55,
1965,11,0.55,
1965,12,0.63,
1966,1,0.04,
1966,2,0.41,
1966,3,0.67,
1966,4,0.18,
1966,5,0.15,
1966,6,0.07,
1966,7,0.08,
1966,8,0.31,
1966,9,0.43,
1966,10,0.13,
1966,11,0.15,
1966,12,0.17,
1967,1,-0.21,
1967,2,-0.12,
1967,3,-0.39,
1967,4,-0.14,
1967,5,-0.38,
1967,6,-0.30,
1967,7,0.14,
1967,8,0.38,
1967,9,-0.00,
1967,10,-0.03,
1967,11,0.04,
1967,12,0.11,
1968,1,-0.51,
1968,2,-0.21,
1968,3,0.50,
1968,4,-0.30,
1968,5,-0.18,
1968,6,-0.44,
1968,7,-0.40,
1968,8,-0.71,
1968,9,-0.70,
1968,10,-0.71,
1968,11,-0.01,
1968,12,-0.22,
1969,1,-0.17,
1969,2,-0.41,
1969,3,0.08,
1969,4,-0.15,
1969,5,-0.08,
1969,6,0.09,
1969,7,-0.07,
1969,8,-0.04,
1969,9,-0.29,
1969,10,-0.59,
1969,11,-0.41,
1969,12,-0.06,
1970,1,-0.20,
1970,2,-0.03,
1970,3,-0.15,
1970,4,0.30,
1970,5,0.09,
1970,6,0.43,
1970,7,0.19,
1970,8,0.05,
1970,9,-0.02,
1970,10,-0.37,
1970,11,-0.13,
1970,12,-0.26,
1971,1,-0.36,
1971,2,-0.29,
1971,3,-0.58,
1971,4,-0.14,
1971,5,-0.16,
1971,6,0.09,
1971,7,0.27,
1971,8,-0.01,
1971,9,0.46,
1971,10,0.13,
1971,11,-0.09,
1971,12,-0.12,
1972,1,-0.51,
1972,2,-0.26,
1972,3,-0.84,
1972,4,-0.94,
1972,5,-0.71,
1972,6,-0.45,
1972,7,-0.58,
1972,8,-0.55,
1972,9,-0.54,
1972,10,-0.48,
1972,11,-0.39,
1972,12,-0.78,
1973,1,-1.39,
1973,2,-1.43,
1973,3,-0.96,
1973,4,-1.03,
1973,5,-1.01,
1973,6,-0.69,
1973,7,-0.50,
1973,8,-0.62,
1973,9,-0.53,
1973,10,-0.98,
1973,11,-0.71,
1973,12,-0.87,
1974,1,-1.01,
1974,2,-1.08,
1974,3,-1.12,
1974,4,-1.21,
1974,5,-1.22,
1974,6,-0.87,
1974,7,-0.79,
1974,8,-1.19,
1974,9,-0.84,
1974,10,-1.38,
1974,11,-0.73,
1974,12,-0.67,
1975,1,-0.33,
1975,2,-0.75,
1975,3,-0.88,
1975,4,-0.81,
1975,5,-0.86,
1975,6,-0.92,
1975,7,-0.66,
1975,8,-0.78,
1975,9,-0.67,
1975,10,-0.61,
1975,11,-0.54,
1975,12,-0.25,
1976,1,-0.31,
1976,2,-0.20,
1976,3,-0.57,
1976,4,-0.54,
1976,5,-0.64,
1976,6,-0.73,
1976,7,-0.33,
1976,8,-0.67,
1976,9,-0.55,
1976,10,-0.78,
1976,11,-0.46,
1976,12,-0.48,
1977,1,-0.60,
1977,2,-0.79,
1977,3,-0.71,
1977,4,-0.14,
1977,5,-0.26,
1977,6,-0.07,
1977,7,0.08,
1977,8,-0.03,
1977,9,-0.20,
1977,10,-0.49,
1977,11,-0.13,
1977,12,-0.52,
1978,1,-0.75,
1978,2,-0.38,
1978,3,-0.28,
1978,4,-0.26,
1978,5,-0.26,
1978,6,-0.57,
1978,7,-0.66,
1978,8,-0.31,
1978,9,-0.39,
1978,10,-0.56,
1978,11,-0.38,
1978,12,-0.48,
1979,1,-0.66,
1979,2,-0.54,
1979,3,-0.97,
1979,4,-1.04,
1979,5,-0.81,
1979,6,-0.62,
1979,7,-0.55,
1979,8,-0.64,
1979,9,-0.54,
1979,10,-0.84,
