# Please cite original data from https://doi.org/10.35090/gatech/70342
Year,Month,OSNAP (Sv),OSNAP uncertainty
2014,8,15.38,
2014,9,10.17,
2014,10,19.14,
2014,11,15.21,
2014,12,8.37,
2015,1,14.64,
2015,2,12.94,
2015,3,14.48,
2015,4,22.03,
2015,5,19.89,
2015,6,25.64,
2015,7,24.08,
2015,8,21.16,
2015,9,16.87,
2015,10,19.80,
2015,11,14.49,
2015,12,15.48,
2016,1,16.28,
2016,2,14.96,
2016,3,13.41,
2016,4,20.82,
2016,5,19.38,
2016,6,14.88,
2016,7,16.23,
2016,8,17.92,
2016,9,18.03,
2016,10,17.87,
2016,11,18.85,
2016,12,10.57,
2017,1,12.78,
2017,2,17.72,
2017,3,21.19,
2017,4,20.88,
2017,5,18.76,
2017,6,15.89,
2017,7,11.06,
2017,8,15.28,
2017,9,13.70,
2017,10,14.98,
2017,11,11.51,
2017,12,11.70,
2018,1,15.36,
2018,2,12.03,
2018,3,20.95,
2018,4,16.99,
2018,5,19.83,
2018,6,17.33,
2018,7,14.49,
2018,8,17.62,
2018,9,14.46,
2018,10,14.40,
2018,11,17.56,
2018,12,16.08,
2019,1,12.09,
2019,2,18.62,
2019,3,15.10,
2019,4,15.98,
2019,5,22.09,
2019,6,16.46,
2019,7,15.50,
2019,8,16.06,
2019,9,16.70,
2019,10,17.34,
2019,11,11.42,
2019,12,11.32,
2020,1,13.96,
2020,2,18.33,
2020,3,19.82,
2020,4,19.56,
2020,5,26.41,
2020,6,24.00,
