# Please cite original data from https://doi.org/10.5285/223b34a3-2dc5-c945-e063-7086abc0f274
Year,Month,RAPID (12 month mean) (Sv),RAPID (12 month mean) uncertainty
2004,4,,
2004,5,,
2004,6,,
2004,7,,
2004,8,,
2004,9,,
2004,10,17.86,
2004,11,17.73,
2004,12,17.91,
2005,1,18.75,
2005,2,18.88,
2005,3,18.88,
2005,4,18.40,
2005,5,18.37,
2005,6,18.78,
2005,7,18.85,
2005,8,18.85,
2005,9,19.37,
2005,10,19.30,
2005,11,19.40,
2005,12,19.25,
2006,1,19.06,
2006,2,19.17,
2006,3,18.99,
2006,4,19.01,
2006,5,19.07,
2006,6,18.84,
2006,7,19.05,
2006,8,19.30,
2006,9,19.06,
2006,10,19.67,
2006,11,19.15,
2006,12,19.21,
2007,1,18.99,
2007,2,18.67,
2007,3,18.55,
2007,4,18.28,
2007,5,18.33,
2007,6,18.12,
2007,7,17.90,
2007,8,17.79,
2007,9,18.00,
2007,10,17.80,
2007,11,18.11,
2007,12,17.81,
2008,1,17.76,
2008,2,17.64,
2008,3,17.47,
2008,4,17.38,
2008,5,17.47,
2008,6,17.45,
2008,7,17.63,
2008,8,17.35,
2008,9,17.21,
2008,10,17.13,
2008,11,17.20,
2008,12,17.45,
2009,1,17.20,
2009,2,17.12,
2009,3,17.25,
2009,4,16.97,
2009,5,16.33,
2009,6,15.87,
2009,7,14.85,
2009,8,14.08,
2009,9,13.47,
2009,10,12.98,
2009,11,12.82,
2009,12,12.85,
2010,1,13.34,
2010,2,13.50,
2010,3,13.65,
2010,4,14.50,
2010,5,15.08,
2010,6,15.33,
2010,7,15.26,
2010,8,15.78,
2010,9,16.34,
2010,10,16.95,
2010,11,17.41,
2010,12,17.28,
2011,1,16.88,
2011,2,16.75,
2011,3,16.65,
2011,4,16.43,
2011,5,16.36,
2011,6,16.45,
2011,7,17.45,
2011,8,17.52,
2011,9,17.58,
2011,10,17.68,
2011,11,17.30,
2011,12,17.05,
2012,1,16.65,
2012,2,16.69,
2012,3,16.56,
2012,4,16.24,
2012,5,15.97,
2012,6,15.88,
2012,7,15.67,
2012,8,15.53,
2012,9,15.52,
2012,10,14.57,
2012,11,14.59,
2012,12,14.99,
2013,1,15.85,
2013,2,15.74,
2013,3,16.01,
2013,4,16.18,
2013,5,16.25,
2013,6,16.75,
2013,7,16.81,
2013,8,16.97,
2013,9,16.91,
2013,10,17.55,
2013,11,17.53,
2013,12,17.27,
2014,1,17.08,
2014,2,17.18,
2014,3,16.82,
2014,4,16.75,
2014,5,16.84,
2014,6,16.64,
2014,7,16.45,
2014,8,16.53,
2014,9,16.51,
2014,10,17.12,
2014,11,17.32,
2014,12,17.37,
2015,1,17.41,
2015,2,17.25,
2015,3,17.50,
2015,4,17.46,
2015,5,17.44,
2015,6,17.72,
2015,7,17.92,
2015,8,17.62,
2015,9,17.87,
2015,10,17.32,
2015,11,17.02,
2015,12,17.03,
2016,1,16.73,
2016,2,16.87,
2016,3,17.00,
2016,4,17.33,
2016,5,17.37,
2016,6,17.12,
2016,7,17.07,
2016,8,17.28,
2016,9,17.19,
2016,10,17.47,
2016,11,17.32,
2016,12,17.38,
2017,1,17.56,
2017,2,17.64,
2017,3,17.40,
2017,4,17.01,
2017,5,17.00,
2017,6,16.97,
2017,7,17.15,
2017,8,17.86,
2017,9,18.22,
2017,10,17.39,
2017,11,17.75,
2017,12,18.14,
2018,1,18.17,
2018,2,18.21,
2018,3,18.39,
2018,4,18.62,
2018,5,18.79,
2018,6,18.86,
2018,7,18.47,
2018,8,17.71,
2018,9,17.40,
2018,10,17.95,
2018,11,17.78,
2018,12,17.23,
2019,1,17.01,
2019,2,16.67,
2019,3,16.53,
2019,4,16.44,
2019,5,15.90,
2019,6,15.72,
2019,7,15.89,
2019,8,16.09,
2019,9,16.09,
2019,10,16.48,
2019,11,16.57,
2019,12,16.67,
2020,1,16.82,
2020,2,17.19,
2020,3,17.07,
2020,4,17.05,
2020,5,17.30,
2020,6,17.59,
2020,7,17.56,
2020,8,16.99,
2020,9,16.69,
2020,10,16.34,
2020,11,16.24,
2020,12,16.28,
2021,1,16.71,
2021,2,16.53,
2021,3,16.54,
2021,4,16.57,
2021,5,16.58,
2021,6,16.05,
2021,7,15.93,
2021,8,15.92,
2021,9,16.07,
2021,10,16.18,
2021,11,16.10,
2021,12,15.91,
2022,1,15.46,
2022,2,15.71,
2022,3,15.78,
2022,4,15.64,
2022,5,15.47,
2022,6,15.62,
2022,7,15.22,
2022,8,15.71,
2022,9,,
2022,10,,
2022,11,,
2022,12,,
2023,1,,
